"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2015 DU)","23","26.6","8.3 - 37","3","5.278, 386","11.390, 34","531592","2022-07 [23.9]","none","none","bK15D00U"
"(2017 FJ3)","2","29.9","1.8 - 8.1","6","5.394, 426","11.294, 26","530963","none","none","none","bK17F03J"
"(2016 RN20)","2","28.2","4.0 - 18","6","5.076, 370","11.029, 34","529344","none","none","none","bK16R20N"
"(2018 SD2)","1","28.6","3.3 - 15","6","4.805, 370","11.899, 26","528576","none","none","none","bK18S02D"
"(2017 KJ32)","2","28.9","2.9 - 13","6","5.297, 378","11.486, 26","527171","none","none","none","bK17K32J"
"(2012 HN1)","6","27.0","6.9 - 31","6","5.514, 362","11.815, 114","526912","? 2039-03 [23.1] ?","none","none","bK12H01N"
"(2019 AU)","9","26.6","8.3 - 37","6","5.602, 362","11.767, 50","524253","? 2025-10 [22.4] ?","none","none","bK19A00U"
"(2011 UX275)","4","25.8","12 - 54","7","5.639, 378","11.986, 82","521511","? 2030-12 [23.2] ?","none","none","bK11UR5X"
"(2005 UV64)","7","26.5","8.7 - 39","6","6.079, 370","11.825, 82","517054","? 2020-10 [21.4] ?","none","none","bK05U64V"
"(2008 DL4)","10","26.9","7.3 - 32","6","6.368, 386","11.719, 74","512878","2034-03 [23.5]","none","none","bK08D04L"
"(2007 XB23)","7","27.1","6.6 - 30","7","4.695, 370","11.915, 50","508925","? 2024-12 [17.1] ?","none","none","bK07X23B"
"(2012 VC26)","5","28.7","3.2 - 14","5","5.516, 362","11.950, 202","505836","none","none","none","bK12V26C"
"(2015 MC54)","8","26.8","7.6 - 34","5","5.863, 386","11.546, 42","502895","? 2028-05 [23.9] ?","none","none","bK15M54C"
"(2015 BE92)","12","28.1","4.2 - 19","4","6.264, 402","11.957, 194","497498","2038-12 [23.7]","none","none","bK15B92E"
"(2019 GP19)","7","26.6","8.2 - 37","5","5.886, 362","11.486, 66","495605","2040-04 [23.4]","none","none","bK19G19P"
"(2007 RC20)","6","26.6","8.3 - 37","9","5.649, 362","11.963, 122","494295","? 2021-07 [23.1] ?","none","none","bK07R20C"
"(2005 QP11)","13","26.4","9.1 - 41","4","5.804, 394","11.731, 122","492270","2029-04 [23.7]","none","none","bK05Q11P"
"(2019 LX1)","3","24.5","22 - 99","7","6.077, 362","11.885, 74","489566","2019-07 [21.9]","none","none","bK19L01X"
"(2017 WZ14)","6","25.1","17 - 74","4","5.452, 354","11.872, 130","488723","2034-07 [22.5]","2035-12 [11]","none","bK17W14Z"
"(2011 BP40)","7","25.4","14 - 65","8","4.966, 338","11.842, 34","488655","? 2023-04 [23.5] ?","none","none","bK11B40P"
"(2010 RF12)","18","28.1","4.2 - 19","4","5.967, 450","11.894, 114","486118","none","none","none","bK10R12F"
"(2016 CH30)","5","28.0","4.4 - 20","5","5.632, 346","11.873, 106","485897","2025-01 [22.8]","none","none","bK16C30H"
"(2000 LG6)","11","29.0","2.8 - 12","6","5.785, 402","11.684, 42","482719","none","none","none","bK00L06G"
"(2009 OS5)","18","24.5","22 - 98","1","6.063, 402","11.727, 42","481874","2020-02 [19.8]","2020-07 [110]","none","bK09O05S"
"(2019 FS2)","6","27.4","5.8 - 26","5","5.971, 378","11.930, 170","481161","none","none","none","bK19F02S"
"(2017 DV35)","7","27.2","6.3 - 28","6","5.764, 330","11.993, 58","479998","? 2033-12 [22.9] ?","none","none","bK17D35V"
"(2009 DB43)","7","26.5","8.7 - 39","7","6.268, 378","11.536, 82","476393","? 2030-08 [22.8] ?","none","none","bK09D43B"
"(2018 MQ5)","14","24.1","26 - 118","4","5.781, 370","11.830, 106","474381","2027-11 [21.8]","none","none","bK18M05Q"
"(2001 CQ36)","32","22.5","55 - 246","0","5.824, 354","11.948, 162","473271","2021-01 [20.5]","2021-02 [18]","2031-02 [150]","bK01C36Q"
"(2018 NX)","5","27.7","5.0 - 22","6","4.293, 370","10.988, 26","470697","none","none","none","bK18N00X"
"(2004 JN1)","21","23.6","33 - 148","0","6.233, 354","11.621, 106","464610","2020-08 [20.5]","2030-05 [49]","none","bK04J01N"
"(2010 UC)","10","27.4","5.8 - 26","5","5.573, 370","11.972, 66","464556","none","none","none","bK10U00C"
"(2008 GM2)","12","28.3","3.8 - 17","5","4.807, 354","11.915, 58","462737","? 2035-04 [18.6] ?","none","none","bK08G02M"
"(2010 UY7)","10","28.5","3.5 - 16","6","6.030, 418","11.725, 74","462652","? 2027-11 [22.3] ?","none","none","bK10U07Y"
"(1999 AO10)","16","23.9","29 - 129","6","5.778, 418","11.751, 50","462473","2032-12 [22.9]","2026-02 [720]","2026-02 [29]","bJ99A10O"
"(2015 XD169)","15","26.9","7.3 - 32","6","5.380, 338","11.879, 42","462152","none","none","none","bK15XG9D"
"(2010 XU10)","8","27.4","5.8 - 26","6","5.618, 362","11.839, 106","461314","none","none","none","bK10X10U"
"(2011 ED12)","16","26.8","7.6 - 34","6","5.799, 362","11.929, 106","460546","? 2033-08 [23.6] ?","none","none","bK11E12D"
"(2010 VL65)","6","28.4","3.6 - 16","7","5.475, 370","11.727, 114","455747","? 2021-11 [22.6] ?","none","none","bK10V65L"
"(2006 UQ216)","7","27.3","6.0 - 27","7","5.557, 282","11.919, 58","454030","? 2029-03 [22.5] ?","none","none","bK06UL6Q"
"(2019 NH6)","1","24.9","18 - 80","8","6.441, 394","11.996, 162","453367","2019-07 [21.3]","none","none","bK19N06H"
"(2003 SM84)","27","22.7","50 - 224","1","6.360, 370","11.890, 74","445010","2021-09 [23.8]","2040-07 [96]","none","bK03S84M"
"(2017 TA6)","6","27.1","6.6 - 30","4","5.894, 330","11.742, 82","443707","2031-03 [23.4]","none","none","bK17T06A"
"(2010 VQ)","12","27.7","5.0 - 22","7","6.027, 442","11.733, 58","441112","? 2022-11 [20.8] ?","none","none","bK10V00Q"
"(2008 WO2)","9","29.8","1.9 - 8.5","6","6.661, 402","11.963, 154","439509","none","none","none","bK08W02O"
"(2018 RB4)","4","26.9","7.3 - 32","7","5.500, 362","11.987, 74","435843","none","none","none","bK18R04B"
"(2009 CV)","30","24.3","24 - 107","0","5.708, 322","11.892, 50","435371","2022-09 [22.3]","2029-02 [31]","2029-03 [45]","bK09C00V"
"(2011 AM37)","6","29.7","2.0 - 8.9","7","5.826, 362","11.867, 114","435203","? 2026-01 [22.4] ?","none","none","bK11A37M"
"(2019 GJ4)","7","25.9","11 - 51","2","6.108, 370","11.934, 146","432858","2020-04 [23.1]","none","none","bK19G04J"
