"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2014 UV210)","23","26.9","7.3 - 32","1","5.902, 434","11.987, 66","348113","2019-10 [22.7]","2019-11 [12]","none","bK14UL0V"
"(2016 EP84)","19","27.4","5.8 - 26","4","5.948, 426","11.614, 34","346888","2028-11 [22.9]","2029-01 [2600]","2029-01 [51]","bK16E84P"
"(2016 AB9)","7","24.7","20 - 89","5","5.635, 362","11.957, 98","346674","2026-01 [23.0]","none","none","bK16A09B"
"(2016 RZ)","5","26.7","8.0 - 36","6","6.876, 338","11.932, 90","346621","? 2022-09 [21.3] ?","none","none","bK16R00Z"
"(2008 EY84)","6","26.8","7.6 - 34","6","6.133, 370","11.758, 146","341789","none","none","none","bK08E84Y"
"(2017 BW)","41","23.5","35 - 155","1","5.481, 362","11.972, 98","337683","2026-10 [21.5]","2027-07 [150]","none","bK17B00W"
"(2010 XF3)","14","24.4","23 - 103","6","6.755, 354","11.710, 90","337252","2023-09 [23.7]","none","none","bK10X03F"
"(2018 LE1)","12","27.5","5.5 - 25","5","5.598, 370","11.942, 170","334751","none","none","none","bK18L01E"
"(2012 XL16)","7","25.5","14 - 62","6","6.422, 370","11.999, 146","334147","none","none","none","bK12X16L"
"(2006 UB17)","11","26.3","10 - 43","7","6.666, 450","11.831, 114","334134","? 2023-04 [23.6] ?","none","none","bK06U17B"
"(2007 TF15)","14","24.6","21 - 94","2","6.620, 378","11.870, 154","332177","2021-06 [21.2]","none","none","bK07T15F"
"(2001 QE71)","16","24.4","23 - 103","6","5.664, 354","11.941, 114","331521","2020-08 [23.7]","none","none","bK01Q71E"
"(2012 KB4)","6","25.3","15 - 68","7","6.240, 370","11.913, 114","329931","? 2020-05 [20.9] ?","none","none","bK12K04B"
"(2018 RH6)","4","27.5","5.5 - 25","6","6.503, 370","11.895, 194","327560","none","none","none","bK18R06H"
"(2013 BS45)","32","25.9","11 - 51","0","4.658, 418","11.985, 234","326249","none","none","none","bK13B45S"
"(2007 CS5)","9","24.6","21 - 94","6","4.814, 386","11.854, 106","325495","? 2040-02 [21.6] ?","none","none","bK07C05S"
"(2015 YA)","7","27.4","5.8 - 26","6","7.952, 426","11.930, 306","325044","none","none","none","bK15Y00A"
"(2014 LK21)","13","25.9","11 - 51","4","6.377, 362","11.568, 114","323734","2031-03 [23.4]","none","none","bK14L21K"
"(2010 HA)","16","23.9","29 - 129","3","6.302, 354","11.962, 114","323568","2025-04 [23.8]","2027-08 [100]","none","bK10H00A"
"(2019 KD4)","1","28.1","4.1 - 18","7","5.469, 346","11.982, 66","323404","none","none","none","bK19K04D"
"(2017 QB35)","4","29.3","2.4 - 11","4","5.224, 354","11.952, 42","321493","none","none","none","bK17Q35B"
"341843 (2008 EV5)","106","20.0","174 - 778","1","6.268, 370","11.799, 98","320649","2021-12 [21.8]","2023-12 [8.e3]","2023-12 [260]","a0341843"
"(2012 BP123)","4","27.1","6.6 - 30","9","6.462, 338","11.911, 58","316987","? 2036-08 [21.6] ?","none","none","bK12BC3P"
"(2017 FP101)","10","24.7","20 - 89","6","5.828, 362","11.986, 98","316032","? 2025-06 [23.3] ?","none","none","bK17FA1P"
"(2017 VN2)","6","27.4","5.8 - 26","6","6.073, 330","11.746, 106","315978","? 2028-11 [20.8] ?","none","none","bK17V02N"
"(2017 CF32)","16","26.1","10 - 47","2","5.388, 330","11.589, 42","314664","2037-08 [23.7]","none","none","bK17C32F"
"(2011 DS)","16","26.9","7.3 - 32","6","6.068, 378","11.899, 186","313881","? 2028-06 [23.5] ?","none","none","bK11D00S"
"(2013 LE7)","22","27.5","5.5 - 25","0","6.857, 410","11.442, 58","312842","none","none","none","bK13L07E"
"(2006 BJ55)","10","24.2","25 - 112","6","6.519, 370","11.992, 130","312280","? 2029-12 [22.9] ?","none","none","bK06B55J"
"(2015 VV)","30","24.3","24 - 107","4","6.725, 362","11.947, 66","311296","2021-04 [22.1]","none","none","bK15V00V"
"(2019 FU2)","8","25.9","11 - 51","5","5.605, 362","11.614, 82","310435","? 2039-09 [22.9] ?","none","none","bK19F02U"
"(2016 TM)","15","27.5","5.5 - 25","6","5.372, 322","11.701, 58","308039","none","none","none","bK16T00M"
"(2018 GE2)","17","27.0","6.9 - 31","5","5.961, 354","11.954, 186","307822","2025-09 [23.1]","none","none","bK18G02E"
"(2018 AH12)","7","26.9","7.3 - 32","6","5.698, 362","11.916, 122","304034","? 2038-07 [22.3] ?","none","none","bK18A12H"
"(2016 EE28)","7","26.8","7.6 - 34","6","6.000, 354","11.530, 58","303632","? 2037-09 [23.4] ?","none","none","bK16E28E"
"(2014 TW)","18","26.0","11 - 49","3","5.202, 370","11.882, 90","302950","2038-02 [21.6]","2038-10 [85]","none","bK14T00W"
"(2017 FF3)","6","27.0","6.9 - 31","6","6.323, 346","11.981, 34","302621","none","none","none","bK17F03F"
"(2017 UO7)","2","26.8","7.6 - 34","6","5.331, 362","11.909, 106","301881","none","none","none","bK17U07O"
"(2018 MA5)","2","26.3","10 - 43","5","7.051, 362","11.901, 178","301078","? 2030-06 [21.1] ?","none","none","bK18M05A"
"(2019 GC6)","10","26.5","8.7 - 39","5","5.859, 338","11.923, 138","298909","? 2034-09 [22.1] ?","none","none","bK19G06C"
"(2017 DR109)","2","27.6","5.3 - 23","6","6.661, 386","11.869, 282","298834","none","none","none","bK17DA9R"
"(2019 KA3)","5","28.0","4.3 - 19","6","5.745, 362","11.902, 42","296759","none","none","none","bK19K03A"
"(2014 MF18)","10","26.0","11 - 49","0","6.263, 418","11.992, 42","296010","2019-07 [23.6]","none","none","bK14M18F"
"(2018 FU1)","8","26.8","7.6 - 34","2","5.783, 370","11.960, 194","294918","2019-09 [22.8]","2019-09 [21]","none","bK18F01U"
"(2018 VC7)","1","27.4","5.8 - 26","6","5.773, 306","11.377, 42","289831","none","none","none","bK18V07C"
"(2011 OJ45)","6","26.0","11 - 49","6","6.074, 450","11.967, 274","288550","none","none","none","bK11O45J"
"(2009 UK20)","12","26.3","10 - 43","6","6.278, 378","11.841, 146","287161","? 2022-10 [23.9] ?","none","none","bK09U20K"
"(2017 PV25)","11","24.6","21 - 94","2","6.389, 354","11.785, 186","286291","2029-05 [23.9]","none","none","bK17P25V"
"(2015 BG92)","27","25.1","17 - 74","4","5.181, 362","11.792, 82","285040","2028-06 [19.0]","2029-01 [160]","none","bK15B92G"
"(2017 AE21)","4","24.8","19 - 84","9","6.431, 362","11.947, 114","283740","? 2024-03 [23.4] ?","none","none","bK17A21E"
"(2012 UW68)","16","24.8","19 - 85","4","6.690, 402","11.934, 50","283524","2024-07 [23.4]","2036-01 [25]","none","bK12U68W"
"(2016 SR2)","16","26.2","10 - 45","1","5.846, 354","11.969, 154","281792","2028-08 [23.9]","none","none","bK16S02R"
"(2019 GX3)","1","27.6","5.2 - 23","6","5.836, 362","11.695, 66","280469","none","none","none","bK19G03X"
"(2018 VU8)","4","27.8","4.8 - 21","5","5.802, 362","11.989, 66","276110","? 2036-05 [23.8] ?","none","none","bK18V08U"
"(2016 TH)","3","29.4","2.3 - 10","5","6.777, 426","11.930, 218","275776","none","none","none","bK16T00H"
"(2004 FM32)","8","27.1","6.6 - 30","6","6.318, 362","11.876, 114","274935","none","none","none","bK04F32M"
"(2018 ET3)","3","26.6","8.3 - 37","7","6.116, 370","11.782, 106","273590","? 2028-08 [22.3] ?","none","none","bK18E03T"
"(2005 VL1)","19","26.5","8.7 - 39","0","7.105, 338","11.981, 178","272586","2021-10 [20.7]","2021-11 [35]","2033-02 [19]","bK05V01L"
"(2017 BS5)","23","24.2","25 - 112","1","6.163, 362","11.970, 90","272507","none","none","none","bK17B05S"
"(2001 BB16)","23","23.2","40 - 178","1","7.155, 394","11.795, 50","267658","2019-11 [21.3]","2035-01 [5200]","2035-01 [460]","bK01B16B"
"(2017 SB20)","3","25.0","17 - 78","6","6.978, 386","11.857, 194","265513","? 2038-05 [23.4] ?","none","none","bK17S20B"
"(2016 CO248)","9","27.5","5.5 - 25","6","5.726, 354","11.848, 58","265252","? 2025-02 [23.5] ?","none","none","bK16CO8O"
"(2011 UD21)","14","28.5","3.5 - 16","4","4.699, 450","11.844, 234","263046","none","none","none","bK11U21D"
"(2018 XQ2)","5","28.2","4.0 - 18","6","6.424, 410","11.325, 42","262827","? 2037-11 [19.2] ?","none","none","bK18X02Q"
"(2016 TQ11)","11","25.7","13 - 56","5","7.031, 362","11.987, 162","262002","? 2036-01 [23.3] ?","none","none","bK16T11Q"
"(2017 WM13)","1","27.6","5.3 - 23","6","5.987, 362","11.856, 50","261964","none","none","none","bK17W13M"
"(2014 MZ17)","15","24.1","26 - 118","3","6.998, 450","11.842, 226","258799","2028-05 [19.6]","2029-10 [12]","none","bK14M17Z"
"(2013 UT4)","6","26.2","10 - 45","6","5.591, 362","11.868, 122","258128","? 2023-03 [23.0] ?","none","none","bK13U04T"
"(2012 AP10)","13","26.5","8.7 - 39","1","6.735, 418","11.840, 66","256547","2038-01 [21.7]","2038-02 [23]","none","bK12A10P"
"(2018 RW)","3","30.6","1.3 - 5.9","6","6.947, 346","11.911, 106","255788","none","none","none","bK18R00W"
"(2015 RF36)","37","23.4","36 - 163","5","6.312, 362","11.910, 90","255084","2027-06 [20.8]","none","none","bK15R36F"
"(2017 AR4)","12","24.8","19 - 85","4","6.399, 378","11.990, 98","255075","none","none","none","bK17A04R"
"(2014 WW202)","5","24.4","23 - 103","7","7.345, 450","11.869, 186","254067","? 2036-11 [20.8] ?","none","none","bK14WK2W"
"(2015 RW83)","7","24.1","26 - 118","6","6.211, 378","11.959, 66","250597","2022-04 [23.3]","none","none","bK15R83W"
"(2010 GV23)","11","27.6","5.3 - 23","6","6.902, 346","11.942, 122","250497","? 2036-04 [23.7] ?","none","none","bK10G23V"
"(2019 JN2)","6","25.7","13 - 57","5","7.291, 386","11.911, 226","250432","2020-03 [23.2]","none","none","bK19J02N"
"(2018 VA)","10","26.7","8.0 - 36","6","7.101, 386","11.712, 50","248932","? 2035-07 [23.2] ?","none","none","bK18V00A"
"(2017 HZ4)","15","25.8","12 - 54","5","6.741, 362","11.877, 146","248078","2030-03 [22.0]","none","none","bK17H04Z"
"(2018 VC)","18","26.3","10 - 43","4","5.433, 354","11.698, 58","247667","2024-04 [23.3]","none","none","bK18V00C"
"(2016 XE)","7","28.2","4.0 - 18","3","7.005, 362","11.857, 250","247034","2028-11 [23.8]","none","none","bK16X00E"
"(2013 UX2)","4","29.2","2.5 - 11","5","6.541, 362","11.879, 82","245612","none","none","none","bK13U02X"
"(2007 WA)","12","24.7","20 - 89","6","6.012, 362","11.969, 146","244793","? 2027-10 [21.1] ?","none","none","bK07W00A"
"(2012 BA35)","10","23.8","30 - 135","5","6.304, 362","11.916, 66","242768","2021-04 [23.2]","2021-07 [28]","2021-08 [170]","bK12B35A"
